"billing_country_code","nps","count"
"AE",8.05555555555556,252
"AF",5.5,2
"AR",7.04878048780488,41
"AT",6.54545454545455,11
"AU",6.41512915129151,542
"BE",7.29752066115702,121
"BH",7.91304347826087,23
"BM",2,1
"BR",8.12759643916914,337
"BW",10,1
"CH",7.15384615384615,78
"CL",8.72916666666667,96
"CM",8,1
"CN",5.55555555555556,18
"CO",8.83760683760684,117
"CR",3.5,2
"CY",6,1
"CZ",6.85714285714286,35
"DE",7.01173020527859,682
"DK",3,4
"DO",10,1
"EC",10,1
"EE",2,1
"EG",8.53846153846154,13
"ES",7.55220417633411,431
"FI",5,3
"FR",7.22343921139102,913
"GB",7.41573994867408,2338
"GR",8.49275362318841,69
"GU",0,1
"HK",6.7007874015748,254
"HU",8.44444444444444,27
"ID",8.56701030927835,97
"IE",7.72222222222222,234
"IL",5.51851851851852,27
"IN",6.83180026281209,2283
"IT",7.76153846153846,260
"JP",6.26076007326007,4368
"KR",4.4375,16
"KW",7.75,12
"KY",10,1
"LU",8.5,2
"MA",8.75,16
"ME",6,1
"MH",0,1
"MK",8,1
"MP",10,1
"MX",8.74565416285453,1093
"MY",7.38721804511278,266
"NG",8.5,32
"NL",7.31806615776081,393
"NO",2.75,4
"NP",8,1
"NZ",7.85964912280702,57
"OM",7.33333333333333,9
"PA",10,2
"PE",8.32450331125828,151
"PH",8.58801498127341,534
"PK",8.30555555555556,72
"PL",7.18867924528302,53
"PR",9.81818181818182,11
"PT",8.30769230769231,52
"QA",7.76,25
"RE",9,1
"RO",6.22222222222222,9
"RS",10,1
"RU",6.12903225806452,31
"SA",7.63636363636364,33
"SE",8.11538461538461,26
"SG",7.30208333333333,192
"SM",0,1
"TH",8.01694915254237,59
"TR",7.86170212765957,94
"TW",6.92913385826772,127
"UA",0.5,4
"UM",5,1
"US",7.36214087117702,12948
"UY",5.75,4
"VE",8.6,5
"VI",3,1
"VN",7.94642857142857,112
"ZA",8.24873096446701,197
